Reason_1,Reason_2,Reason_3,Reason_4,Date,Age,Transportation Expense,Distance to Work,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month Value,Day of the week
0,0,0,1,2015-07-07,33,289,36,239.554,30,0,2,1,4,7,1
0,0,0,0,2015-07-14,50,118,13,239.554,31,0,1,0,0,7,1
0,0,0,1,2015-07-15,38,179,51,239.554,31,0,0,0,2,7,2
1,0,0,0,2015-07-16,39,279,5,239.554,24,0,2,0,4,7,3
0,0,0,1,2015-07-23,33,289,36,239.554,30,0,2,1,2,7,3
0,0,0,1,2015-07-10,38,179,51,239.554,31,0,0,0,2,7,4
0,0,0,1,2015-07-17,28,361,52,239.554,27,0,1,4,8,7,4
0,0,0,1,2015-07-24,36,260,50,239.554,23,0,4,0,4,7,4
0,0,1,0,2015-07-06,34,155,12,239.554,25,0,2,0,40,7,0
0,0,0,1,2015-07-13,37,235,11,239.554,29,1,1,1,8,7,0
0,0,0,0,2015-07-20,36,260,50,239.554,23,0,4,0,8,7,0
0,0,0,0,2015-07-14,36,260,50,239.554,23,0,4,0,8,7,1
1,0,0,0,2015-07-15,36,260,50,239.554,23,0,4,0,8,7,2
1,0,0,0,2015-07-15,38,179,51,239.554,31,0,0,0,1,7,2
0,0,0,1,2015-07-15,38,179,51,239.554,31,0,0,0,4,7,2
1,0,0,0,2015-07-17,41,246,25,239.554,23,0,0,0,8,7,4
0,0,0,1,2015-07-17,38,179,51,239.554,31,0,0,0,2,7,4
0,0,1,0,2015-07-27,38,179,51,239.554,31,0,0,0,8,7,0
1,0,0,0,2015-07-30,33,189,29,239.554,25,0,2,2,8,7,3
0,0,0,1,2015-08-05,47,248,25,205.917,32,0,2,1,2,8,2
1,0,0,0,2015-08-12,28,330,16,205.917,25,1,0,0,8,8,2
1,0,0,0,2015-08-03,38,179,51,205.917,31,0,0,0,1,8,0
1,0,0,0,2015-08-10,28,361,52,205.917,27,0,1,4,40,8,0
0,0,0,1,2015-08-14,36,260,50,205.917,23,0,4,0,4,8,4
0,0,1,0,2015-08-17,33,289,36,205.917,30,0,2,1,8,8,0
0,0,0,1,2015-08-24,28,361,52,205.917,27,0,1,4,7,8,0
0,0,0,1,2015-08-04,33,289,36,205.917,30,0,2,1,1,8,1
0,0,0,1,2015-08-12,29,157,27,205.917,22,0,0,0,4,8,2
0,0,1,0,2015-08-19,33,289,36,205.917,30,0,2,1,8,8,2
0,0,0,1,2015-08-28,38,179,51,205.917,31,0,0,0,2,8,4
0,0,1,0,2015-08-17,38,179,51,205.917,31,0,0,0,8,8,0
0,0,1,0,2015-08-27,48,235,29,205.917,33,0,1,5,8,8,3
0,0,0,1,2015-08-27,37,235,11,205.917,29,1,1,1,4,8,3
0,0,1,0,2015-08-17,48,235,29,205.917,33,0,1,5,8,8,0
0,0,0,1,2015-08-17,38,179,51,205.917,31,0,0,0,2,8,0
0,0,0,1,2015-08-17,28,361,52,205.917,27,0,1,4,1,8,0
0,0,0,1,2015-08-04,33,289,36,205.917,30,0,2,1,8,8,1
1,0,0,0,2015-08-20,32,291,50,205.917,23,0,0,0,4,8,3
